,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
0,Final,2009,Rafael Nadal,0.64,4,4,0.66,0.48,143.0,0.44,0.4,173,41.0,1
1,semi,2009,Rafael Nadal,0.74,12,3,0.72,0.62,143.0,0.2,0.34,193,25.0,1
2,semi,2009,Roger Federer,0.66,16,0,0.83,0.58,156.0,0.31,0.36,105,15.0,1
3,quarter,2009,Rafael Nadal,0.67,5,2,0.73,0.58,140.0,0.58,0.44,105,24.0,1
4,quarter,2009,Fernando Verdasco,0.78,7,3,0.69,0.59,154.0,1.0,0.36,129,29.0,1
5,quarter,2009,Roger Federer,0.7,12,0,0.86,0.75,159.0,0.64,0.59,83,9.0,1
6,quarter,2009,Andy Roddick,0.71,16,5,0.87,0.44,171.0,0.42,0.43,114,14.0,1
7,Fourth,2009,Rafael Nadal,0.67,4,0,0.78,0.63,143.0,0.46,0.48,96,11.0,1
8,Fourth,2009,Jo0Wilfried Tsonga,0.64,12,3,0.84,0.46,150.0,0.5,0.37,111,31.0,1
9,Fourth,2009,Gilles Simon,0.64,3,4,0.71,0.36,134.0,0.5,0.49,89,36.0,1
10,Fourth,2009,Fernando Verdasco,0.74,10,6,0.69,0.34,156.0,0.29,0.4,137,50.0,1
11,Fourth,2009,Juan Martin Del Potro,0.67,8,3,0.7,0.53,153.0,0.6,0.39,133,45.0,1
12,Fourth,2009,Andy Roddick,0.63,13,2,0.84,0.59,169.0,0.71,0.41,91,27.0,1
13,Fourth,2009,Roger Federer,0.67,20,5,0.71,0.46,156.0,0.67,0.39,159,40.0,1
14,Fourth,2009,Novak Djokovic,0.63,3,3,0.74,0.56,159.0,0.29,0.44,147,49.0,1
15,Third,2009,James Blake,0.61,6,0,0.77,0.65,150.0,0.5,0.43,115,36.0,1
16,Third,2009,Fernando Gonzalez,0.69,14,7,0.72,0.48,143.0,0.43,0.34,191,51.0,1
17,Third,2009,Gael Monfils,0.66,12,0,0.76,0.47,137.0,0.5,0.41,106,24.0,1
18,Third,2009,Fernando Verdasco,0.81,1,2,0.71,0.46,154.0,0.45,0.62,99,15.0,1
19,Third,2009,Jo0Wilfried Tsonga,0.62,5,2,0.7,0.55,150.0,0.38,0.44,110,36.0,1
20,Third,2009,Andy Murray,0.6,8,0,0.78,0.52,137.0,0.5,0.52,96,10.0,1
21,Third,2009,Rafael Nadal,0.69,4,0,0.81,0.79,142.0,0.33,0.49,98,8.0,1
22,Third,2009,Gilles Simon,0.59,0,1,0.7,0.54,135.0,0.5,0.42,115,35.0,1
23,Third,2009,Tommy Robredo,0.75,7,1,0.74,0.56,153.0,0.64,0.52,86,21.0,1
24,Third,2009,Andy Roddick,0.73,22,1,0.85,0.65,171.0,0.36,0.41,90,19.0,1
25,Third,2009,Marin Cilic,0.59,7,0,0.68,0.59,145.0,0.4,0.38,103,46.0,1
26,Third,2009,Marcos Baghdatis,0.54,5,4,0.8,0.47,148.0,0.43,0.46,105,29.0,1
27,Third,2009,Tomas Berdych,0.63,9,3,0.77,0.44,161.0,0.25,0.43,136,46.0,1
