Final,0,5,0.555555556,0.444444444
semi,0,5,0.548387097,0.451612903
quarter,0,5,0.485294118,0.514705882
Fourth,0,5,0.543478261,0.456521739
Third,0,5,0.5703125,0.4296875
Second,0,5,0.554809843,0.445190157
First,0,5,0.576230492,0.423769508
Final,5,10,0.25,0.75
semi,5,10,0.416666667,0.583333333
quarter,5,10,0.55,0.45
Fourth,5,10,0.333333333,0.666666667
Third,5,10,0.310344828,0.689655172
Second,5,10,0.391111111,0.608888889
First,5,10,0.39148073,0.60851927
Final,10,15,0,0
semi,10,15,0,1
quarter,10,15,0,0
Fourth,10,15,1,0
Third,10,15,0.25,0.75
Second,10,15,0.47826087,0.52173913
First,10,15,0.344827586,0.655172414
Final,15,20,0,0
semi,15,20,0,0
quarter,15,20,0,0
Fourth,15,20,0,0
Third,15,20,0,0
Second,15,20,0.6,0.4
First,15,20,0.375,0.625
Final,20,25,0,0
semi,20,25,0,0
quarter,20,25,0,0
Fourth,20,25,0,1
Third,20,25,0,1
Second,20,25,0.5,0.5
First,20,25,0,0
